Tom Brady (9683293), Carlos Hyde (9683520), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Cameron Brate (9683572), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Pierre Garcon (9683528), Robby Anderson (9683470), Cameron Brate (9683572), LeSean McCoy (9683166), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), LeSean McCoy (9683166), Chris Thompson (9683631), Pierre Garcon (9683528), Michael Crabtree (9683206), Cameron Brate (9683572), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Julio Jones (9683434), Robby Anderson (9683470), Cameron Brate (9683572), Jordan Howard (9683361), Jets  (9683488)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Brandin Cooks (9683307), Robby Anderson (9683470), Jack Doyle (9683282), LeSean McCoy (9683166), Panthers  (9683610)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Pierre Garcon (9683528), Jason Witten (9683696), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Pierre Garcon (9683528), Robby Anderson (9683470), Cameron Brate (9683572), LeSean McCoy (9683166), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Doug Baldwin (9683652), Robby Anderson (9683470), Jack Doyle (9683282), LeSean McCoy (9683166), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Pierre Garcon (9683528), Robby Anderson (9683470), Hunter Henry (9683349), LeSean McCoy (9683166), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Jack Doyle (9683282), LeSean McCoy (9683166), Cowboys  (9683704)
Tom Brady (9683293), Marshawn Lynch (9683830), LeSean McCoy (9683166), Chris Thompson (9683631), Michael Crabtree (9683206), Pierre Garcon (9683528), Cameron Brate (9683572), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Brandin Cooks (9683307), Robby Anderson (9683470), Jack Doyle (9683282), LeSean McCoy (9683166), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Dez Bryant (9683684), Robby Anderson (9683470), Cameron Brate (9683572), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), LeSean McCoy (9683166), Chris Thompson (9683631), Michael Crabtree (9683206), Brandin Cooks (9683307), Jason Witten (9683696), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Brandin Cooks (9683307), Jack Doyle (9683282), Jordan Howard (9683361), Cowboys  (9683704)
Dak Prescott (9683671), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Jason Witten (9683696), LeSean McCoy (9683166), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), LeSean McCoy (9683166), Chris Thompson (9683631), Michael Crabtree (9683206), Doug Baldwin (9683652), Jason Witten (9683696), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Jack Doyle (9683282), LeSean McCoy (9683166), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Thomas (9683405), Robby Anderson (9683470), Cameron Brate (9683572), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Doug Baldwin (9683652), Jack Doyle (9683282), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Dez Bryant (9683684), Robby Anderson (9683470), Cameron Brate (9683572), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Marshawn Lynch (9683830), LeSean McCoy (9683166), Chris Thompson (9683631), Michael Crabtree (9683206), Brandin Cooks (9683307), Jason Witten (9683696), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), A.J. Green (9683234), Robby Anderson (9683470), Jason Witten (9683696), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Brandin Cooks (9683307), Jack Doyle (9683282), Jordan Howard (9683361), Cowboys  (9683704)
Dak Prescott (9683671), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Jason Witten (9683696), LeSean McCoy (9683166), Panthers  (9683610)
Tom Brady (9683293), Marshawn Lynch (9683830), LeSean McCoy (9683166), Chris Thompson (9683631), Michael Crabtree (9683206), Doug Baldwin (9683652), Jason Witten (9683696), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Cameron Brate (9683572), LeSean McCoy (9683166), Jets  (9683488)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Thomas (9683405), Robby Anderson (9683470), Cameron Brate (9683572), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Robby Anderson (9683470), Cameron Brate (9683572), Melvin Gordon (9683329), Panthers  (9683610)
Tom Brady (9683293), Marshawn Lynch (9683830), Ezekiel Elliott (9683674), Chris Thompson (9683631), Michael Crabtree (9683206), Doug Baldwin (9683652), Jack Doyle (9683282), Jordan Howard (9683361), Cowboys  (9683704)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Mike Evans (9683562), Robby Anderson (9683470), Jason Witten (9683696), Jordan Howard (9683361), Panthers  (9683610)
Tom Brady (9683293), Frank Gore (9683262), Ezekiel Elliott (9683674), Chris Thompson (9683631), Julio Jones (9683434), Robby Anderson (9683470), Jack Doyle (9683282), Jordan Howard (9683361), Seahawks  (9683670)
